[KEY]markerid,[P10]markerid,[P7]markerid,[P5]markerid,NO,시군구,**시,**구,**동,[P2]시군구_단지명,[P9]단지명_erased_**동,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
112654,UNMAPPED,112654,112654,1,광주시 북구 운암동,광주시,북구,운암동,광주시 북구 운암동 운암2차남양휴튼,운암2차남양휴튼,1781,1781,0,운암2차남양휴튼,84.8088,202312,31,"41,300",201동,9,-,-,2019,북문대로 88,-,중개거래,광주 남구,24.04.26,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,2,광주시 북구 신용동,광주시,북구,신용동,광주시 북구 신용동 첨단자이2차,첨단자이2차,863,863,0,첨단자이2차,84.9442,202312,31,"42,000",202,8,-,-,2012,임방울대로 1020,-,중개거래,광주 북구,24.02.05,아파트
16636,UNMAPPED,16636,16636,3,광주시 서구 내방동,광주시,서구,내방동,광주시 서구 내방동 솔뫼타운,솔뫼타운,475-1,475,1,솔뫼타운,46.365,202312,31,"11,300",102,4,-,-,1999,내방로278번길 7,-,중개거래,광주 서구,24.02.15,아파트
5426,UNMAPPED,5426,5426,4,광주시 서구 금호동,광주시,서구,금호동,광주시 서구 금호동 금호시영5단지,금호시영5단지,742-2,742,2,금호시영5단지,59.82,202312,31,"14,900",507,11,-,-,1994,운천로32번길 7,-,중개거래,광주 서구,24.02.14,아파트
115433,UNMAPPED,115433,115433,5,광주시 광산구 송정동,광주시,광산구,송정동,광주시 광산구 송정동 마이다스빌,마이다스빌,948-4,948,4,마이다스빌,50.51,202312,31,"8,000",101,9,-,-,1999,평동로1119번길 25,-,중개거래,광주 서구,24.02.21,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,6,광주시 광산구 소촌동,광주시,광산구,소촌동,광주시 광산구 소촌동 서라2,서라2,612,612,0,서라2,59.985,202312,31,"10,100",202,15,-,-,1995,어등대로665번길 26,-,중개거래,광주 서구,24.01.22,아파트
122252,UNMAPPED,122252,122252,7,광주시 남구 지석동,광주시,남구,지석동,광주시 남구 지석동 일진스위트포레,일진스위트포레,444,444,0,일진스위트포레,84.8792,202312,31,"30,000",107동,9,-,-,2020,고싸움로164번길 22,-,중개거래,"광주 광산구, 광주 서구",24.05.22,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,8,광주시 광산구 신가동,광주시,광산구,신가동,광주시 광산구 신가동 신창7차부영사랑으로,신창7차부영사랑으로,1030,1030,0,신창7차부영사랑으로,84.9931,202312,31,"30,000",1310동,8,-,-,2006,신창로35번길 54,-,중개거래,광주 광산구,24.01.26,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,9,광주시 광산구 월곡동,광주시,광산구,월곡동,광주시 광산구 월곡동 운남주공10단지,운남주공10단지,685-1,685,1,운남주공10단지,59.77,202312,31,"20,700",1010,14,-,-,2003,사암로340번길 30,-,중개거래,광주 광산구,24.01.30,아파트
100869,UNMAPPED,100869,100869,10,광주시 광산구 신가동,광주시,광산구,신가동,광주시 광산구 신가동 신창6차호반베르디움,신창6차호반베르디움,1048,1048,0,신창6차호반베르디움,70.9346,202312,30,"27,700",604,4,-,-,2005,신창로35번길 80,-,중개거래,광주 광산구,24.03.15,아파트
100569,UNMAPPED,100569,100569,11,광주시 광산구 운남동,광주시,광산구,운남동,광주시 광산구 운남동 운남주공8단지,운남주공8단지,781-1,781,1,운남주공8단지,49.55,202312,30,"16,000",804,8,-,-,2000,목련로153번길 143,-,중개거래,광주 광산구,24.02.02,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,12,광주시 광산구 신창동,광주시,광산구,신창동,광주시 광산구 신창동 신창2차부영,신창2차부영,1270,1270,0,신창2차부영,84.7886,202312,30,"25,300",209,17,-,-,2005,신창로71번길 33,-,중개거래,광주 광산구,24.03.11,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,13,광주시 광산구 장덕동,광주시,광산구,장덕동,광주시 광산구 장덕동 새한포유,새한포유,1689,1689,0,새한포유,84.9401,202312,30,"47,200",106,7,-,-,2008,풍영로170번길 39-9,-,중개거래,광주 광산구,24.02.20,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,14,광주시 광산구 운남동,광주시,광산구,운남동,광주시 광산구 운남동 운남주공7단지,운남주공7단지,794-3,794,3,운남주공7단지,49.83,202312,30,"15,800",702,10,-,-,2001,목련로153번길 56,-,중개거래,광주 광산구,24.01.15,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,15,광주시 북구 일곡동,광주시,북구,일곡동,광주시 북구 일곡동 청솔,청솔,849-2,849,2,청솔,48.45,202312,30,"8,950",103,6,-,-,2000,일곡로 80,-,중개거래,광주 북구,24.02.29,아파트
132124,UNMAPPED,132124,UNMAPPED,16,광주시 북구 각화동,광주시,북구,각화동,광주시 북구 각화동 더샵광주포레스트,더샵광주포레스트,724,724,0,더샵광주포레스트,101.9824,202312,30,"65,300",102동,22,-,-,2023,동문대로249번길 12,-,중개거래,광주 북구,24.03.25,아파트
108827,UNMAPPED,108827,108827,17,광주시 북구 삼각동,광주시,북구,삼각동,광주시 북구 삼각동 일곡엘리체프라임,일곡엘리체프라임,835,835,0,일곡엘리체프라임,74.1967,202312,30,"36,300",108동,6,-,-,2016,설죽로 419,-,중개거래,광주 북구,24.01.23,아파트
5213,UNMAPPED,5213,5213,18,광주시 북구 삼각동,광주시,북구,삼각동,광주시 북구 삼각동 삼익,삼익,755-17,755,17,삼익,84.81,202312,30,"17,300",102,4,-,-,1990,설죽로370번길 15,-,중개거래,광주 북구,24.03.11,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,19,광주시 북구 중흥동,광주시,북구,중흥동,광주시 북구 중흥동 모아1,모아1,323-1,323,1,모아1,133.35,202312,30,"26,000",-,1,-,-,1991,서암대로 199,20240226,중개거래,광주 북구,-,아파트
5055,UNMAPPED,5055,5055,20,광주시 북구 일곡동,광주시,북구,일곡동,광주시 북구 일곡동 벽산,벽산,817-2,817,2,벽산,84.99,202312,30,"28,350",102,21,-,-,1997,우치로537번길 5,-,중개거래,광주 북구,24.01.26,아파트
105373,UNMAPPED,105373,105373,21,광주시 북구 신용동,광주시,북구,신용동,광주시 북구 신용동 광주첨단2지구사랑으로부영,광주첨단2지구사랑으로부영,737,737,0,광주첨단2지구사랑으로부영,60.4624,202312,30,"22,100",105,7,-,-,2013,첨단연신로 166,-,직거래,-,24.01.15,아파트
111860,UNMAPPED,111860,111860,22,광주시 남구 주월동,광주시,남구,주월동,광주시 남구 주월동 봉선로남해오네뜨,봉선로남해오네뜨,1312,1312,0,봉선로남해오네뜨,84.8298,202312,30,"58,000",104동,15,-,-,2018,봉선로 42,-,중개거래,광주 남구 광주 북구,24.01.24,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,23,광주시 남구 주월동,광주시,남구,주월동,광주시 남구 주월동 주월동이지더원1단지,이지더원1단지,1301,1301,0,주월동이지더원1단지,84.9728,202312,30,"43,000",102,6,-,-,2012,봉선로84번길 16,-,중개거래,광주 남구,24.02.20,아파트
125813,UNMAPPED,125813,UNMAPPED,24,광주시 북구 유동,광주시,북구,유동,광주시 북구 유동 금남로대광로제비앙,금남로대광로제비앙,141,141,0,금남로대광로제비앙,84.7468,202312,30,"42,500",102동,14,-,-,2022,서림로 153,-,중개거래,전남 나주시,24.04.26,아파트
101787,UNMAPPED,101787,101787,25,광주시 서구 동천동,광주시,서구,동천동,광주시 서구 동천동 동천센트럴파크,동천센트럴파크,506,506,0,동천센트럴파크,84.99,202312,30,"32,500",202,3,-,-,2007,동천로 11,-,중개거래,광주 서구,24.03.04,아파트
117345,UNMAPPED,117345,117345,26,광주시 북구 본촌동,광주시,북구,본촌동,광주시 북구 본촌동 힐스테이트본촌,힐스테이트본촌,3102,3102,0,힐스테이트본촌,84.9976,202312,30,"49,800",104동,4,-,-,2019,본촌마을길 157-22,-,중개거래,광주 북구,24.01.30,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,27,광주시 북구 양산동,광주시,북구,양산동,광주시 북구 양산동 호반,호반,288-15,288,15,호반,37.83,202312,30,"7,700",102,7,-,-,1997,연양로28번길 27,-,중개거래,광주 북구,24.02.20,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,28,광주시 북구 우산동,광주시,북구,우산동,광주시 북구 우산동 무등산자이앤어울림1단지,무등산자이앤어울림1단지,835,835,0,무등산자이앤어울림1단지,84.9596,202312,30,"72,000",103,20,-,-,2022,서양로 155,-,중개거래,광주 북구,25.02.27,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,29,광주시 광산구 수완동,광주시,광산구,수완동,광주시 광산구 수완동 우미린1차,우미린1차,1488,1488,0,우미린1차,84.1244,202312,30,"56,200",104,9,-,-,2008,수완로33번길 22,-,중개거래,광주 광산구,24.01.31,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,30,광주시 광산구 수완동,광주시,광산구,수완동,광주시 광산구 수완동 우미린2차,우미린2차,908,908,0,우미린2차,84.9547,202312,30,"50,000",206,16,-,-,2008,왕버들로132번길 22,-,중개거래,광주 광산구,24.01.18,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,31,광주시 북구 두암동,광주시,북구,두암동,광주시 북구 두암동 주공3,주공3,969-1,969,1,주공3,49.77,202312,30,"11,700",306,6,-,-,1994,삼정로 50,-,중개거래,광주 북구,24.01.05,아파트
5541,UNMAPPED,5541,5541,32,광주시 서구 치평동,광주시,서구,치평동,광주시 서구 치평동 해광한신,해광한신,1168,1168,0,해광한신,59.935,202312,30,"16,650",103,1,-,-,1998,상무공원로 114,-,중개거래,광주 서구,24.02.28,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,33,광주시 남구 양림동,광주시,남구,양림동,광주시 남구 양림동 휴먼시아1단지,휴먼시아1단지,505,505,0,휴먼시아1단지,75.77,202312,30,"30,000",101,13,-,-,2008,제중로 11,-,중개거래,광주 남구,24.02.02,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,34,광주시 광산구 비아동,광주시,광산구,비아동,광주시 광산구 비아동 호반,호반,152-5,152,5,호반,37.83,202312,30,"7,400",101,1,-,-,1998,비아로 185,-,중개거래,광주 광산구,24.02.15,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,35,광주시 광산구 도산동,광주시,광산구,도산동,광주시 광산구 도산동 호반1,호반1,1136-1,1136,1,호반1,59.95,202312,30,"9,000",101,1,-,-,1995,도산로9번길 35,-,중개거래,광주 광산구,24.02.06,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,36,광주시 서구 금호동,광주시,서구,금호동,광주시 서구 금호동 호반리젠시빌3차,호반리젠시빌3차,770-1,770,1,호반리젠시빌3차,84.7555,202312,30,"35,000",304,5,-,-,2001,금화로149번길 11,-,중개거래,광주 서구,24.02.22,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,37,광주시 서구 금호동,광주시,서구,금호동,광주시 서구 금호동 진흥더루벤스,진흥더루벤스,268-1,268,1,진흥더루벤스,136.235,202312,30,"68,800",201,9,-,-,2009,금화로59번길 12,-,중개거래,광주 서구,24.02.23,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,38,광주시 북구 양산동,광주시,북구,양산동,광주시 북구 양산동 청암프로스빌,청암프로스빌,101,101,0,청암프로스빌,59.97,202312,30,"10,800",102,7,-,-,1998,자라봉로 33,-,중개거래,광주 북구,24.01.31,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,39,광주시 광산구 월계동,광주시,광산구,월계동,광주시 광산구 월계동 호반2차,호반2차,763-6,763,6,호반2차,59.82,202312,30,"17,000",211,1,-,-,1997,월계로 59,-,중개거래,광주 광산구,24.01.04,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,40,광주시 남구 지석동,광주시,남구,지석동,광주시 남구 지석동 한일베라체,한일베라체,443,443,0,한일베라체,84.783,202312,30,"26,200",106,11,-,-,2008,회재로 211,-,중개거래,광주 남구,24.02.28,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,41,광주시 광산구 우산동,광주시,광산구,우산동,광주시 광산구 우산동 동산아파트,동산아파트,1572-5,1572,5,동산아파트,59.61,202312,30,"12,300",102,3,-,-,1991,월곡산정로 20-49,-,중개거래,광주 광산구,24.01.04,아파트
113007,UNMAPPED,113007,113007,42,광주시 동구 소태동,광주시,동구,소태동,광주시 동구 소태동 무등산골드클래스,무등산골드클래스,1103,1103,0,무등산골드클래스,59.9834,202312,29,"36,200",105동,17,-,-,2018,학소로 109,-,중개거래,광주 동구,24.01.11,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,43,광주시 서구 쌍촌동,광주시,서구,쌍촌동,광주시 서구 쌍촌동 광명하이츠,광명하이츠,96,96,0,광명하이츠,84.93,202312,29,"19,300",103,25,-,-,1992,내방로251번길 10,-,중개거래,광주 서구,24.01.29,아파트
16705,UNMAPPED,16705,16705,44,광주시 서구 풍암동,광주시,서구,풍암동,광주시 서구 풍암동 주은모아,주은모아,1127,1127,0,주은모아,59.28,202312,29,"18,600",106,14,-,-,2000,풍암2로 36,-,중개거래,광주 서구,24.02.19,아파트
125021,UNMAPPED,125021,125021,45,광주시 남구 월산동,광주시,남구,월산동,광주시 남구 월산동 반도유보라더퍼스트,반도유보라더퍼스트,1065,1065,0,반도유보라더퍼스트,84.9661,202312,29,"55,500",106동,23,-,-,2022,구성로8번길 6,-,중개거래,광주 남구,24.01.10,아파트
16628,UNMAPPED,16628,16628,46,광주시 북구 용두동,광주시,북구,용두동,광주시 북구 용두동 양산타운,양산타운,330,330,0,양산타운,59.94,202312,29,"16,500",102,9,-,-,1998,하서로423번길 33,-,중개거래,광주 북구,24.01.22,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,47,광주시 북구 문흥동,광주시,북구,문흥동,광주시 북구 문흥동 주공1,주공1,787-8,787,8,주공1,39.3,202312,29,"18,000",211,2,-,-,1989,면앙로31번길 7,-,직거래,-,24.01.02,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,48,광주시 북구 문흥동,광주시,북구,문흥동,광주시 북구 문흥동 라인동산,라인동산,972-4,972,4,라인동산,84.86,202312,29,"22,000",203,1,-,-,1994,문산로 81,-,중개거래,광주 북구,24.01.31,아파트
5448,UNMAPPED,5448,5448,49,광주시 서구 양동,광주시,서구,양동,광주시 서구 양동 그린파크,그린파크,321-20,321,20,그린파크,59.85,202312,29,"10,300",101,8,-,-,1996,상무대로1224번길 14,-,중개거래,광주 서구,24.01.09,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,51,광주시 동구 용산동,광주시,동구,용산동,광주시 동구 용산동 광주용산지구2BL계룡리슈빌더포레스트아파트,광주용산지구2BL계룡리슈빌더포레스트아파트,662,662,0,광주용산지구2BL계룡리슈빌더포레스트아파트,82.0393,202312,29,"40,000",106동,1,-,-,2019,용산1길 2,-,중개거래,광주 광산구,24.01.08,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,52,광주시 서구 화정동,광주시,서구,화정동,광주시 서구 화정동 남화맨션,남화맨션,747-1,747,1,남화맨션,58.64,202312,29,"9,000",-,4,-,-,1979,월드컵4강로152번길 13-8,-,중개거래,광주 북구,24.01.09,아파트
105777,UNMAPPED,105777,105777,53,광주시 서구 화정동,광주시,서구,화정동,광주시 서구 화정동 유니버시아드힐스테이트3단지,유니버시아드힐스테이트3단지,1612,1612,0,유니버시아드힐스테이트3단지,84.98,202312,29,"56,500",301,27,-,-,2016,화운로 24,-,중개거래,광주 서구,24.02.21,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,55,광주시 서구 금호동,광주시,서구,금호동,광주시 서구 금호동 한국,한국,739-2,739,2,한국,69.59,202312,29,"18,950",101,6,-,-,1994,운천로56번길 7,-,중개거래,광주 서구,24.01.12,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,56,광주시 서구 금호동,광주시,서구,금호동,광주시 서구 금호동 모아엘가,모아엘가,769,769,0,모아엘가,75.03,202312,29,"21,000",101,12,-,-,1998,금화로149번길 27,-,중개거래,광주 서구,24.02.19,아파트
100934,UNMAPPED,100934,100934,58,광주시 서구 금호동,광주시,서구,금호동,광주시 서구 금호동 이지더원,이지더원,206-20,206,20,이지더원,84.9493,202312,29,"32,000",제101동,3,-,-,2006,화개중앙로 116,-,중개거래,광주 서구,24.01.23,아파트
117962,UNMAPPED,117962,UNMAPPED,59,광주시 광산구 쌍암동,광주시,광산구,쌍암동,광주시 광산구 쌍암동 첨단센트럴파크2차,첨단센트럴파크2차,676-3,676,3,첨단센트럴파크2차,41.83,202312,29,"15,800",201동,13,-,-,2018,첨단중앙로170번길 87,-,중개거래,광주 광산구,24.02.15,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,60,광주시 광산구 소촌동,광주시,광산구,소촌동,광주시 광산구 소촌동 보라2,보라2,536-9,536,9,보라2,44.7,202312,29,"6,800",101,2,-,-,1992,상무대로263번길 17,-,중개거래,광주 광산구,24.01.24,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,61,광주시 동구 계림동,광주시,동구,계림동,광주시 동구 계림동 두산위브3차(두산위브더파크),두산위브3차(두산위브더파크),1845,1845,0,두산위브3차(두산위브더파크),39.9452,202312,29,"21,500",310,2,-,-,2021,중앙로290번길 16,-,직거래,-,24.01.29,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,62,광주시 북구 두암동,광주시,북구,두암동,광주시 북구 두암동 중흥에스-클래스,중흥에스-클래스,174-9,174,9,중흥에스-클래스,183.608,202312,29,"48,000",103,10,-,-,2006,탁영로 33,-,중개거래,광주 북구,24.01.19,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,63,광주시 북구 두암동,광주시,북구,두암동,"광주시 북구 두암동 광신(8,9,10동)","광신(8,9,10동)",572-3,572,3,"광신(8,9,10동)",65.34,202312,29,"9,500",10,5,-,-,1983,면앙로165번길 33,-,직거래,-,24.01.02,아파트
16693,UNMAPPED,16693,16693,64,광주시 서구 치평동,광주시,서구,치평동,광주시 서구 치평동 호반,호반,1166-7,1166,7,호반,59.91,202312,29,"17,300",102,1,-,-,1998,상무공원로 128,-,중개거래,광주 서구,24.01.03,아파트
102765,UNMAPPED,102765,102765,65,광주시 서구 치평동,광주시,서구,치평동,광주시 서구 치평동 갤러리303,갤러리303,1330,1330,0,갤러리303,152.65,202312,29,"73,000",102,7,-,-,2010,상무누리로 33,-,중개거래,전남 나주시,24.03.15,아파트
100922,UNMAPPED,100922,100922,66,광주시 북구 양산동,광주시,북구,양산동,광주시 북구 양산동 일신2차,일신2차,205-6,205,6,일신2차,59.985,202312,29,"14,000",제201,9,-,-,1997,상촌로43번길 30,-,직거래,-,23.12.29,아파트
112768,UNMAPPED,112768,112768,67,광주시 북구 본촌동,광주시,북구,본촌동,광주시 북구 본촌동 부영사랑으로,부영사랑으로,3077,3077,0,부영사랑으로,84.9931,202312,29,"30,300",108,6,-,-,2007,양산택지소로 30,-,중개거래,광주 북구,24.01.30,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,69,광주시 서구 유촌동,광주시,서구,유촌동,광주시 서구 유촌동 호반리젠시빌,호반리젠시빌,852,852,0,호반리젠시빌,80.779,202312,29,"31,500",202,4,-,-,2001,상무버들로 45,-,중개거래,광주 서구,24.02.29,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,70,광주시 서구 유촌동,광주시,서구,유촌동,광주시 서구 유촌동 상무버들마을주공2,상무버들마을주공2,871,871,0,상무버들마을주공2,59.97,202312,29,"16,000",211,11,-,-,1999,상무버들로 15,-,중개거래,광주 서구,24.01.04,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,71,광주시 북구 동림동,광주시,북구,동림동,광주시 북구 동림동 우미2,우미2,26-1,26,1,우미2,59.77,202312,29,"10,200",105,3,-,-,1991,북문대로201번길 30,-,중개거래,광주 북구,24.01.26,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,72,광주시 광산구 산월동,광주시,광산구,산월동,광주시 광산구 산월동 부영1차,부영1차,882-1,882,1,부영1차,84.9763,202312,29,"26,000",106,13,-,-,2003,월계로 170,-,중개거래,광주 광산구,24.04.11,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,75,광주시 북구 중흥동,광주시,북구,중흥동,광주시 북구 중흥동 중흥동영무예다음아파트,영무예다음아파트,819,819,0,중흥동영무예다음아파트,77.1872,202312,29,"31,000",105동,10,-,-,2015,서방로40번길 13,-,중개거래,"광주 북구, 광주 서구",24.03.15,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,76,광주시 광산구 우산동,광주시,광산구,우산동,광주시 광산구 우산동 세계수영선수촌 중흥에스-클래스 센트럴,세계수영선수촌 중흥에스-클래스 센트럴,1621,1621,0,세계수영선수촌 중흥에스-클래스 센트럴,75.9493,202312,29,"37,700",105,20,-,-,2020,금봉로 106,-,중개거래,광주 광산구,24.02.06,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,77,광주시 광산구 우산동,광주시,광산구,우산동,광주시 광산구 우산동 하남주공(2단지),하남주공(2단지),1571-1,1571,1,하남주공(2단지),44.94,202312,29,"8,650",204,12,-,-,1991,월곡산정로 12,-,중개거래,광주 광산구,24.01.15,아파트
157719,UNMAPPED,157719,UNMAPPED,78,광주시 북구 각화동,광주시,북구,각화동,광주시 북구 각화동 각화센트럴파크3차,각화센트럴파크3차,721,721,0,각화센트럴파크3차,59.9987,202312,29,"29,000",301동,25,-,-,2023,동문대로249번길 7,-,직거래,-,24.01.15,아파트
108386,UNMAPPED,108386,108386,80,광주시 동구 월남동,광주시,동구,월남동,광주시 동구 월남동 월남호반베르디움2차,월남호반베르디움2차,638,638,0,월남호반베르디움2차,59.9711,202312,29,"24,500",212,3,-,-,2016,남문로 307,-,중개거래,광주 동구,24.01.25,아파트
112777,UNMAPPED,112777,UNMAPPED,81,광주시 광산구 송정동,광주시,광산구,송정동,광주시 광산구 송정동 현대디에코2차,현대디에코2차,859-7,859,7,현대디에코2차,49.5899,202312,29,"13,000",현대디에코2차,5,-,-,2016,송정로16번길 10,-,중개거래,광주 광산구,24.02.29,아파트
5561,UNMAPPED,5561,5561,82,광주시 서구 쌍촌동,광주시,서구,쌍촌동,광주시 서구 쌍촌동 광명중흥,광명중흥,1232-1,1232,1,광명중흥,84.99,202312,29,"21,500",105,13,-,-,1992,화정로 96,-,중개거래,광주 서구,24.01.16,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,83,광주시 광산구 월곡동,광주시,광산구,월곡동,광주시 광산구 월곡동 운남주공9단지,운남주공9단지,681-1,681,1,운남주공9단지,84.86,202312,29,"30,000",905,16,-,-,2003,풍영로 63,-,중개거래,광주 광산구,24.01.31,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,84,광주시 광산구 신창동,광주시,광산구,신창동,광주시 광산구 신창동 신창부영,신창부영,1187,1187,0,신창부영,84.7886,202312,29,"24,000",112,5,-,-,2005,장신로265번길 22,-,중개거래,광주 북구,24.01.02,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,85,광주시 광산구 신가동,광주시,광산구,신가동,광주시 광산구 신가동 중흥2,중흥2,302-25,302,25,중흥2,59.955,202312,29,"14,500",202,15,-,-,1998,목련로382번길 79,-,중개거래,광주 광산구,24.01.30,아파트
4378,UNMAPPED,4378,4378,86,광주시 광산구 운남동,광주시,광산구,운남동,광주시 광산구 운남동 운남주공5단지,운남주공5단지,769-1,769,1,운남주공5단지,84.77,202312,29,"29,000",506,16,-,-,1997,하남대로 248-10,-,중개거래,광주 광산구,24.01.26,아파트
4371,UNMAPPED,4371,4371,88,광주시 광산구 운남동,광주시,광산구,운남동,광주시 광산구 운남동 삼성,삼성,387-22,387,22,삼성,59.91,202312,28,"16,100",113,15,-,-,1996,임방울대로 142-12,-,중개거래,광주 광산구,24.01.31,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,89,광주시 광산구 신창동,광주시,광산구,신창동,광주시 광산구 신창동 신창5차부영사랑으로,신창5차부영사랑으로,1264,1264,0,신창5차부영사랑으로,84.9931,202312,28,"30,100",1105동,2,-,-,2006,신창로71번길 16,-,중개거래,광주 광산구,24.02.08,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,93,광주시 북구 문흥동,광주시,북구,문흥동,광주시 북구 문흥동 우미,우미,996-1,996,1,우미,49.96,202312,28,"9,500",103,4,-,-,1994,대천로 160,-,중개거래,광주 북구,24.01.17,아파트
5075,UNMAPPED,5075,5075,94,광주시 동구 산수동,광주시,동구,산수동,광주시 동구 산수동 두암그린파크,두암그린파크,689,689,0,두암그린파크,84.99,202312,28,"20,000",107,10,-,-,1995,밤실로 150,-,중개거래,광주 동구,24.02.14,아파트
5511,UNMAPPED,5511,5511,95,광주시 서구 화정동,광주시,서구,화정동,광주시 서구 화정동 현대(740-6),현대(740-6),740-6,740,6,현대(740-6),72.585,202312,28,"22,800",101,9,-,-,1986,화운로175번길 15,-,중개거래,광주 서구,24.02.29,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,96,광주시 북구 문흥동,광주시,북구,문흥동,광주시 북구 문흥동 중흥파크맨션1,중흥파크맨션1,995-3,995,3,중흥파크맨션1,84.99,202312,28,"20,000",102,11,-,-,1994,서하로 417,-,중개거래,광주 북구,24.01.30,아파트
127006,UNMAPPED,127006,127006,97,광주시 북구 중흥동,광주시,북구,중흥동,광주시 북구 중흥동 제일풍경채센트럴파크1단지,제일풍경채센트럴파크1단지,836,836,0,제일풍경채센트럴파크1단지,84.92,202312,28,"62,000",108,16,-,-,2022,우치로40번길 25,-,중개거래,광주 북구,24.03.18,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,98,광주시 남구 진월동,광주시,남구,진월동,광주시 남구 진월동 한신2,한신2,277,277,0,한신2,84.87,202312,28,"28,500",203,13,-,-,1997,서문대로701번길 21,-,중개거래,광주 남구,24.01.22,아파트
108734,UNMAPPED,108734,108734,99,광주시 동구 학동,광주시,동구,학동,광주시 동구 학동 무등산아이파크,무등산아이파크,1022,1022,0,무등산아이파크,84.7496,202312,28,"65,000",104동,25,-,-,2017,남문로753번길 20,-,중개거래,광주 동구,24.01.31,아파트
UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,101,광주시 광산구 우산동,광주시,광산구,우산동,광주시 광산구 우산동 하남우미,하남우미,1572-2,1572,2,하남우미,49.14,202312,28,"10,900",102,7,-,-,1992,월곡산정로 40,-,중개거래,광주 광산구,24.02.07,아파트
24682,UNMAPPED,24682,24682,102,광주시 서구 동천동,광주시,서구,동천동,광주시 서구 동천동 호반베르디움,호반베르디움,615,615,0,호반베르디움,119.5762,202312,28,"69,500",503,17,-,-,2008,하남대로680번길 10,-,중개거래,광주 서구,24.02.14,아파트
5003,UNMAPPED,5003,5003,103,광주시 북구 오치동,광주시,북구,오치동,광주시 북구 오치동 우성,우성,862-1,862,1,우성,84.94,202312,28,"15,000",102,1,-,-,1992,서하로183번길 40,-,직거래,-,23.12.29,아파트
